"","BankDefaultIndex","Name","regnum","DefaultType","DefaultDate","BankLocalization"
"448","448","Бумеранг","1002","отозв.","20.05.2015","Череповец"
"449","449","Плато-Банк","2071","отозв.","13.05.2015","Екатеринбург"
"450","450","Строительно-Коммерческий Банк","3050","отозв.","13.05.2015","Санкт-Петербург"
"451","451","Плато-Банк","2071","отозв.","13.05.2015","Екатеринбург"
"452","452","Единственный","3187","отозв.","24.04.2015","Москва"
"453","453","Таурус Банк","655","отозв.","24.04.2015","Москва"
"454","454","Идеалбанк","3491","отозв.","17.04.2015","Москва"
"455","455","Ганзакомбанк","1734","отозв.","17.04.2015","Санкт-Петербург"
"456","456","ИпоТек Банк","2794","отозв.","13.04.2015","Москва"
"457","457","Транснациональный Банк","2108","отозв.","13.04.2015","Москва"
"458","458","Тихоокеанский Внешторгбанк","1378","отозв.","13.04.2015","Южно-Сахалинск"
"459","459","Тандем","1951","отозв.","02.04.2015","Москва"
"460","460","Промсбербанк","1043","отозв.","02.04.2015","Подольск"
"461","461","Конгресс-Банк","2330","отозв.","24.03.2015","Москва"
"462","462","Дагэнергобанк","3286","отозв.","24.03.2015","Махачкала"
"463","463","Дельта Кей","3513-К","отозв.","06.03.2015","Москва"
"464","464","СБ Банк (Судостроительный банк)","2999","отозв.","16.02.2015","Москва"
"465","465","Сургутский Центральный Коммерческий Банк","684","отозв.","11.02.2015","Сургут"
"466","466","Фреско Банк","1415","ликв.","03.02.2015","Москва"
"467","467","Академический Русский Банк","622","отозв.","29.01.2015","Москва"
